tenderer,winnerUrl,winner,amount,tendererUrl,date,title
JP Šume RS a.d. Sokolac,/website/bih/company/preview/5085944/BRAĆA-ĐURIĆ-MM-d-1086-1086-Teslić,BRAĆA ĐURIĆ MM d.о.о. Teslić,"16.610,00 KM",/website/bih/company/preview/92719/JP-Šume-RS-a-d-Sokolac,"
									objavljen : 28.10.2013,","Sječa i izrada, izvoz i iznos šds i popravka trak. vlaka - slučajni užitci PJ Gornja Velika Usora, odjeli 22,23/1,23/2 i 25"
JP Šume RS a.d. Sokolac,/website/bih/company/preview/5091759/GORA-doo-Teslić,GORA doo Teslić,"21.004,80 KM",/website/bih/company/preview/92719/JP-Šume-RS-a-d-Sokolac,"
									objavljen : 28.10.2013,","Sječa i izrada, izvoz i iznos šds i popravka trakt.vlaka - slučajni užitci PJ Gornja Velika Usora odjeli : 26/2, 27 i 28 i odjeli 109/1 i 110"
Dioničko društvo BH Telecom Sarajevo - Direkcija Tuzla,/website/bih/company/preview/5015250/SEIF-d-o-o-Kalesija,SEIF d.o.o. Kalesija,"22.500,00 KM",/website/bih/company/preview/5003025/Dioničko-društvo-BH-Telecom-Sarajevo-Direkcija-Tuzla,"
									objavljen : 28.10.2013,","Nabavka usluga angažovanja nekvalifikovane radne snage za održavanje čistoće i na poslovima utovara, istovara i ostalih manipulativnih radova za poslovnu 2013-2014.godinu"
Dioničko društvo BH Telecom Sarajevo - Direkcija Tuzla,/website/bih/company/preview/96036/DELING-d-o-o-Tuzla,DELING d.o.o. Tuzla,"12.700,00 KM",/website/bih/company/preview/5003025/Dioničko-društvo-BH-Telecom-Sarajevo-Direkcija-Tuzla,"
									objavljen : 28.10.2013,","Građevinski i ostali radovi u sklopu poslova redovnog održavanja pristupnih mreža i optičkih spojnih puteva na području djelovanja BH Telecom a dd Sarajevo, Direkcija Tuzla i Brčko Distrikt"
Dioničko društvo BH Telecom Sarajevo - Direkcija Tuzla,/website/bih/company/preview/99213/FITOB-d-o-o-Tuzla,FITOB d.o.o. Tuzla,"50.000,00 KM",/website/bih/company/preview/5003025/Dioničko-društvo-BH-Telecom-Sarajevo-Direkcija-Tuzla,"
									objavljen : 28.10.2013,","Nabavka usluga održavanja i servisiranja sistema tehničke zaštite (vatrodojava, protivprovala, videonadzor, registracija radnog vremena) instaliranih po objekatima BH Telecoma na području TK, Brčko Distrikta i RS-a"
Dioničko društvo BH Telecom Sarajevo - Direkcija Tuzla,/website/bih/company/preview/96222/ENERGOINVEST-SUE-d-d-Sarajevo,ENERGOINVEST SUE d.d Sarajevo,"495.511,00 KM",/website/bih/company/preview/5003025/Dioničko-društvo-BH-Telecom-Sarajevo-Direkcija-Tuzla,"
									objavljen : 28.10.2013,",Nabavka i montaža sistema napajanja za telekomunikacijsku opremu
Klinički centar Univerziteta u Sarajevu,/website/bih/company/preview/95368/MGM-FARM-d-o-o-Kakanj,MGM FARM d.o.o. Kakanj,"27.540,00 KM",/website/bih/company/preview/95631/Klinički-centar-Univerziteta-u-Sarajevu,"
									objavljen : 28.10.2013,",Lamivudin film tabl. 150mg
Klinički centar Univerziteta u Sarajevu,/website/bih/company/preview/5092061/PHOENIX-BIJELJINA,PHOENIX BIJELJINA,"45.747,10 KM",/website/bih/company/preview/95631/Klinički-centar-Univerziteta-u-Sarajevu,"
									objavljen : 28.10.2013,",Abacavir tbl. 300 mg
Klinički centar Univerziteta u Sarajevu,/website/bih/company/preview/5092061/PHOENIX-BIJELJINA,PHOENIX BIJELJINA,"63.072,60 KM",/website/bih/company/preview/95631/Klinički-centar-Univerziteta-u-Sarajevu,"
									objavljen : 28.10.2013,",Amfotericin B inj. 100mg
Klinički centar Univerziteta u Sarajevu,/website/bih/company/preview/98196/PHARMA-MAAC-d-o-o-Sarajevo,PHARMA MAAC d.o.o. Sarajevo,"19.020,00 KM",/website/bih/company/preview/95631/Klinički-centar-Univerziteta-u-Sarajevu,"
									objavljen : 28.10.2013,","Imunoglobulin humani inj. 2,5g i Imunoglobulin humani inj. 5g"
Klinički centar Univerziteta u Sarajevu,/website/bih/company/preview/98196/PHARMA-MAAC-d-o-o-Sarajevo,PHARMA MAAC d.o.o. Sarajevo,"15.216,00 KM",/website/bih/company/preview/95631/Klinički-centar-Univerziteta-u-Sarajevu,"
									objavljen : 28.10.2013,",Imunoglobulin humani inj. 10g
Klinički centar Univerziteta u Sarajevu,/website/bih/company/preview/95723/UNIFARM-d-o-o-Lukavac,UNIFARM d.o.o.  Lukavac,"9.800,00 KM",/website/bih/company/preview/95631/Klinički-centar-Univerziteta-u-Sarajevu,"
									objavljen : 28.10.2013,","Kalcij-glukonat+saharat inj. 940mg+50mg)/10m I .V i I.M., Alprostadil inj.0,5mg/ml i Verapamil inj. 5mg/2ml"
Klinički centar Univerziteta u Sarajevu,/website/bih/company/preview/95720/HERCEGOVINALIJEK-d-o-o-Mostar,HERCEGOVINALIJEK d.o.o. Mostar,"3.200,00 KM",/website/bih/company/preview/95631/Klinički-centar-Univerziteta-u-Sarajevu,"
									objavljen : 28.10.2013,","Tioktinska (alfa-liponska) kiselina otopina za infuziju 300mg/12ml, Manitol 10% otopina 500ml, Propafenon inj. 70mg/20ml, Metildopa tabl. 250mg, Metilprednizolon sukcinat inj. 40mg/ml i Izofluran otopina 100ml"
Klinički centar Univerziteta u Sarajevu,/website/bih/company/preview/95368/MGM-FARM-d-o-o-Kakanj,MGM FARM d.o.o. Kakanj,"13.800,00 KM",/website/bih/company/preview/95631/Klinički-centar-Univerziteta-u-Sarajevu,"
									objavljen : 28.10.2013,","Heparin inj. 25000I.J./5ml, Povidon jod rastvor za kožu/10g(odgovara 1g aktivnog
joda)/g/100ml 1000ml, Deksametazon inj. 4mg/ml, Suksametonij inj. 100mg/2ml, Metamizol tabl. 500mg i Voda za injekcije 500ml"
Klinički centar Univerziteta u Sarajevu,/website/bih/company/preview/95720/HERCEGOVINALIJEK-d-o-o-Mostar,HERCEGOVINALIJEK d.o.o. Mostar,"3.024,00 KM",/website/bih/company/preview/95631/Klinički-centar-Univerziteta-u-Sarajevu,"
									objavljen : 28.10.2013,",Manitol 20% otopina 250ml
Klinički centar Univerziteta u Sarajevu,/website/bih/company/preview/97041/INEL-MED-d-o-o-Mostar,INEL-MED d.o.o. Mostar,"930,00 KM",/website/bih/company/preview/95631/Klinički-centar-Univerziteta-u-Sarajevu,"
									objavljen : 28.10.2013,",Natrij klorid 10% otopina 100ml
Klinički centar Univerziteta u Sarajevu,/website/bih/company/preview/5091576/FARMACIJA-2011-d-o-o-Bihać,FARMACIJA 2011 d.o.o. Bihać,"1.610,00 KM",/website/bih/company/preview/95631/Klinički-centar-Univerziteta-u-Sarajevu,"
									objavljen : 28.10.2013,",Magnezij sulfat inj. 400mg/10ml
Klinički centar Univerziteta u Sarajevu,/website/bih/company/preview/5091576/FARMACIJA-2011-d-o-o-Bihać,FARMACIJA 2011 d.o.o. Bihać,"7.300,00 KM",/website/bih/company/preview/95631/Klinički-centar-Univerziteta-u-Sarajevu,"
									objavljen : 28.10.2013,",Dopamin inj. 40mg/ml 5ml
Klinički centar Univerziteta u Sarajevu,/website/bih/company/preview/95368/MGM-FARM-d-o-o-Kakanj,MGM FARM d.o.o. Kakanj,"6.480,00 KM",/website/bih/company/preview/95631/Klinički-centar-Univerziteta-u-Sarajevu,"
									objavljen : 28.10.2013,","Povidon jod otopina 7,5g (što odgovara 0,75g aktivnog joda)/100ml 1 L"
